model,strategy,window_days,review_threshold,escalate_threshold,worst_regret_pct,mean_regret_pct,mean_cost,validation_pr_auc,complexity_rank
lightgbm,static,static,0.6305296784000008,0.8614585239999999,44.77295941040642,43.43205066527895,14.523390051443108,0.4970771052294929,2
xgboost,static,static,0.6530493520000004,0.8597294739999999,44.81993194815457,44.26467816286665,14.640449176127156,0.4806369510354057,3
lightgbm,static,static,0.6305296784000008,0.7543766923999997,44.87019030698538,34.670612687821695,13.525119753850808,0.4970771052294929,2
xgboost,periodic,30,0.38715403080000027,0.7987268239999995,49.22721521677693,44.94536125630845,14.639727890640867,0.528737951919904,10
xgboost,periodic,60,0.4291320688,0.8166706215999999,49.45335142278182,44.90374350903642,14.632154203541878,0.5369770874552252,9
xgboost,periodic,60,0.19804607600000002,0.6894232079999998,49.77407859675704,35.0843165815769,13.510683995835947,0.5369770874552252,9
xgboost,periodic,90,0.28519258,0.7103074299999992,50.62565455211963,38.19242265243845,13.853712654610167,0.5221895821524528,8
lightgbm,periodic,30,0.37571702960000025,0.9308587964000007,51.16042411834469,39.877293513745116,14.33125134676975,0.575586320575787,9
lightgbm,periodic,90,0.36427646720000006,0.8195049055999994,51.55482067633825,46.30203990754086,14.764917801470112,0.5599790432242554,7
lightgbm,periodic,30,0.2397558776,0.7625479459999985,51.81043516347865,45.18022509671869,14.63404423495323,0.575586320575787,9
lightgbm,periodic,60,0.4747209908000001,0.9384870448000009,52.354234724525895,40.77449821181429,14.426032919251874,0.5849111076212508,8
lightgbm,static,static,0.48040240640000004,0.8614585239999999,52.500305081218016,48.675670016836385,15.023184132145328,0.4970771052294929,2
lightgbm,static,static,0.27405822,0.7543766923999997,55.85703083952036,42.14714665684831,14.238138002046924,0.4970771052294929,2
xgboost,periodic,90,0.46188629480000026,0.8233074819999998,57.618522887220955,51.927034853186896,15.328983937198903,0.5221895821524528,8
lightgbm,periodic,90,0.5126674544000002,0.9399534288,58.159700335273335,48.94942442869744,15.22581998172082,0.5599790432242554,7
xgboost,periodic,60,0.5628901000000008,0.9337740240000006,59.1642196926792,52.34306178435205,15.540148150529824,0.5369770874552252,9
xgboost,periodic,30,0.5214823064000002,0.9250720020000003,59.96938634166413,51.5236524840404,15.477434316897643,0.528737951919904,10
xgboost,static,static,0.33897233,0.7541437687999999,62.24931938039262,47.99303563417821,14.82321957666238,0.4806369510354057,3
xgboost,periodic,90,0.5975063680000001,0.9358547480000023,63.90653874512871,59.00665652796357,16.192203514017912,0.5221895821524528,8
lightgbm,periodic,60,0.23086628279999982,0.8158383256,67.57156010099993,55.06889353143522,15.561661027301302,0.5849111076212508,8
xgboost,periodic,90,0.21844927,0.7103074299999992,67.60452899364245,49.685030297362054,14.948584745252653,0.5221895821524528,8
