feature,importance
id_03,3536.146287918091
V152,3437.0016746520996
TransactionAmt_outlier_iqr,3345.575258255005
V336,3339.7848386764526
V296,3308.3014850616455
V37,3244.1750078201294
V326,3199.1096267700195
V19,3197.2400817871094
V262,3034.92533493042
V280,2998.8822689056396
V36,2952.8384017944336
missing_core_count,2951.855400085449
V5,2886.8298482894897
V141,2842.768623352051
V77,2840.737635612488
V244,2793.081123352051
missing_id_count,2659.2510900497437
V78,2646.4038887023926
V96,2628.2386054992676
V86,2594.3921184539795
D12,2437.3803005218506
V161,2411.238998413086
V128,2319.509192466736
V126,2282.2196102142334
V267,2245.0129203796387
V286,2210.212978363037
V291,2204.3882026672363
V23,2202.074712753296
V169,2198.498523712158
V261,2190.390480995178
V268,2171.1153602600098
V318,2158.592025756836
V145,2130.0284700393677
V47,2116.7562942504883
V99,2079.859498977661
V24,2004.348196029663
V124,1990.4457998275757
V157,1968.551941871643
V44,1936.939721107483
V29,1917.756700515747
V210,1912.0988855361938
V139,1910.7085676193237
V234,1883.6724014282227
V48,1882.9803085327148
V164,1846.914179801941
V2,1823.919822692871
M9_freq,1804.1095924377441
V282,1799.273796081543
V143,1797.57320022583
V66,1788.0400142669678
V272,1786.9380025863647
V321,1783.8379878997803
V287,1766.9105892181396
V266,1764.8413019180298
V214,1758.707670211792
V289,1743.8392944335938
M2_label,1733.7600021362305
V11,1709.6697788238525
V205,1689.5873203277588
V217,1686.8725776672363
V332,1669.2377080917358
V79,1660.8657779693604
V129,1653.6564979553223
DeviceType_label,1615.3741989135742
M9_label,1594.4544105529785
V224,1577.3082962036133
V225,1561.7291851043701
V150,1553.3662014007568
V298,1544.9889030456543
V270,1525.967290878296
V64,1466.5284061431885
V221,1437.1178131103516
M7_label,1436.504695892334
V127,1421.4419975280762
V69,1413.8059902191162
V316,1386.9016971588135
V59,1373.9544734954834
V81,1357.1054000854492
V10,1322.5583992004395
id_11,1312.7560958862305
V259,1303.0007019042969
M3_freq,1232.487979888916
D7,1209.3194999694824
V200,1180.349980354309
V74,1168.3695907592773
V6,1167.7755889892578
V63,1158.4933242797852
V26,1148.7808856964111
V327,1120.27001953125
V323,1081.2052822113037
V207,1070.0053100585938
V51,1065.5432929992676
V231,1065.233715057373
V319,1060.4957885742188
V331,1053.1890869140625
M8_label,1038.652198791504
V203,1023.4544887542725
V306,1023.3721008300781
V251,972.8762760162354
V263,964.7161998748779
V324,952.5690078735352
V170,945.3976192474365
V275,931.1204948425293
V271,929.9207954406738
V172,922.2729797363281
V159,920.7236938476562
