feature,train_missing_pct,valid_missing_pct,holdout_missing_pct,missing_delta_train_valid,missing_delta_train_holdout,ks_train_valid,ks_train_holdout,train_nunique,valid_nunique,holdout_nunique,gain_importance,split_importance,perm_pr_auc,perm_pr_auc_drop,max_ks,max_missing_delta,gain_rank,perm_rank,is_predictive,is_shifted,recommendation
TransactionAmt_log1p,0.0,0.0,0.0,0.0,0.0,0.012708491945225275,0.015759559894334085,15931,5459,4977,19518.736451148987,218,0.5941192518473446,0.0033351622700552586,0.015759559894334085,0.0,51.0,42.0,True,False,keep
C12,0.0,0.0,0.0,0.0,0.0,0.05556197491561399,0.07477602759056678,1182,106,76,15689.453067779541,96,0.5960435191144906,0.0014108950029092515,0.07477602759056678,0.0,54.0,49.0,True,False,keep
DeviceInfo_freq,0.0,0.0,0.0,0.0,0.0,0.08390952292252288,0.0514194855555932,119,120,118,13916.955774784088,195,0.5939780173760263,0.0034763967413735664,0.08390952292252288,0.0,56.0,40.0,True,False,keep
V78,16.53595498550963,13.709486232939344,9.780878517966606,2.8264687525702854,6.755076467543024,0.005176193466514989,0.011987190460102437,31,24,32,12737.081829071045,113,0.5963780286519098,0.0010763854654900484,0.011987190460102437,6.755076467543024,57.0,51.0,True,False,keep
id_19,74.23592934311938,83.00312708142829,79.9516826407469,8.767197738308909,5.715753297627515,0.06242107622299542,0.07022255184138892,503,319,325,12452.517813682556,266,0.5941505522865789,0.0033038618308209866,0.07022255184138892,8.767197738308909,59.0,43.0,True,False,keep
DT_hour,0.0,0.0,0.0,0.0,0.0,0.031612610774319566,0.04798180958670595,24,24,24,24457.989450454712,388,0.5965837377465099,0.00087067637089,0.04798180958670595,0.0,41.0,52.0,False,False,low_priority
V189,74.21730232378114,82.98054887616983,79.49560289452592,8.763246552388694,5.278300570744776,0.029276388883426,0.02126030602116051,18,20,31,22162.365325927734,26,0.5983872612076276,-0.0009328470902277841,0.029276388883426,8.763246552388694,44.0,185.0,False,False,low_priority
V243,75.60392667244024,84.55763651347354,82.04694008873234,8.953709841033302,6.443013416292104,0.009861873179608294,0.01371199805352552,42,19,19,21391.940633773804,8,0.5978493757492108,-0.0003949616318109639,0.01371199805352552,8.953709841033302,46.0,181.0,False,False,low_priority
DeviceInfo_label,0.0,0.0,0.0,0.0,0.0,0.08716078447974174,0.05706403687020922,1547,619,593,20131.93961906433,249,0.597546358110399,-9.194399299916611e-05,0.08716078447974174,0.0,49.0,179.0,False,False,low_priority
V87,16.53595498550963,13.709486232939344,9.780878517966606,2.8264687525702854,6.755076467543024,0.0056902602797075374,0.00270964344257163,31,20,23,14233.01081085205,103,0.5982591767975852,-0.0008047626801853669,0.0056902602797075374,6.755076467543024,55.0,184.0,False,False,low_priority
