model,feature,importance
uid_freq_amt,V200,489.29839515686035
uid_freq_amt,V94,465.9397163391113
uid_freq_amt,V80,432.14141273498535
uid_freq_amt,id_26,431.1816987991333
uid_freq_amt,V199,370.42469787597656
uid_freq_amt,V147,351.5124988555908
uid_freq_amt,V92,337.6600036621094
uid_freq_amt,id_24,322.4506034851074
uid_freq_amt,V33,317.7126045227051
uid_freq_amt,V246,307.2780132293701
uid_freq_amt,V34,247.2681999206543
uid_freq_amt,V32,240.572998046875
uid_freq_amt,V93,223.47220134735107
uid_freq_amt,V50,219.07080078125
uid_freq_amt,id_21,207.40859985351562
uid_freq_amt,M2_freq,196.656005859375
uid_freq_amt,id_10,191.03990173339844
uid_freq_amt,id_07,190.74759674072266
uid_freq_amt,V84,185.8799991607666
uid_freq_amt,V247,177.4037971496582
uid_freq_amt,M7_freq,169.06639862060547
uid_freq_amt,V18,162.01739692687988
uid_freq_amt,M1_label,100.28250122070312
uid_freq_amt,id_22,74.6104965209961
uid_freq_amt,V188,60.56410026550293
uid_freq_amt,M8_freq,50.90799903869629
uid_freq_amt,V190,49.27519989013672
uid_freq_amt,V71,31.726600646972656
uid_freq_amt,V31,26.627899169921875
uid_freq_amt,V22,22.175500869750977
uid_freq_amt,V155,19.811800003051758
uid_freq_amt,V242,13.481499671936035
uid_freq_amt,V16,0.0
uid_freq_amt,V17,0.0
uid_freq_amt,V21,0.0
uid_freq_amt,V42,0.0
uid_freq_amt,V252,0.0
uid_freq_amt,has_identity,0.0
uid_freq_amt,TransactionAmt_outlier_iqr,0.0
uid_freq_amt,M1_freq,0.0
uid_freq_amt,uid_card_addr_d1_known_train,0.0
uid_freq_amt,uid_card_addr_known_train,0.0
uid_freq_amt,uid_card_email_known_train,0.0
uid_freq_amt,uid_card_product_known_train,0.0
uid_freq_amt,uid_card_d2_known_train,0.0
