model,strategy,window_days,split,block,rows,fraud_rate,pr_auc,recall_at_5pct,precision_at_5pct,cost_per_txn_proxy,uid_known_pr_auc,uid_unknown_pr_auc,train_seconds,updated,device,psi_score,inference_ms_per_txn
xgboost,static,initial_70pct,valid,4,9274,0.031917187836963554,0.4523157941079337,0.4864864864864865,0.31101511879049676,11.945886044856588,0.30838591154003536,0.5800014421051479,0.0,0,cpu,0.011142621609461056,0.01726675620012167
xgboost,static,initial_70pct,holdout,0,21975,0.030716723549488054,0.5208149556964234,0.5422222222222223,0.3333333333333333,12.736607390580206,0.4139724932450388,0.5847543196155325,0.0,0,cpu,0.01093178547952313,0.013712585164962697
xgboost,static,initial_70pct,holdout,1,20656,0.030644848954298993,0.39858160165832507,0.47393364928909953,0.29069767441860467,12.2931946077653,0.3608903701439668,0.4225761192725722,0.0,0,cpu,0.002721536620132328,0.013878871030215123
xgboost,static,initial_70pct,holdout,2,20508,0.03510825043885313,0.4716619995029765,0.525,0.36878048780487804,12.370228526233664,0.3027603375008385,0.5468826652078675,0.0,0,cpu,0.021433476637921767,0.013872883167536208
xgboost,static,initial_70pct,holdout,3,17817,0.04130886232250098,0.5545898370290154,0.563858695652174,0.46629213483146065,17.866018754223493,0.4357819180980042,0.6227352137859098,0.0,0,cpu,0.0033442502197062744,0.014348605713641086
xgboost,static,initial_70pct,holdout,4,7625,0.041836065573770495,0.549850065129786,0.542319749216301,0.4540682414698163,20.73923274177049,0.41790805446767065,0.6527201876612099,0.0,0,cpu,0.006875132860006901,0.019300759475419135
xgboost,periodic,14,valid,1,18907,0.03929761464008039,0.5502081580267407,0.5585464333781965,0.43915343915343913,14.845625933358013,0.5125985008527499,0.5899331348839305,2.5647558529999515,1,cpu,0.0,0.014393833024802793
xgboost,periodic,14,valid,2,18622,0.033293953388465254,0.4812887806022458,0.5612903225806452,0.37379162191192267,13.707619440339384,0.5106693578253697,0.48512657301190126,2.5456896700000016,1,cpu,0.00916091429166629,0.01457771716249671
xgboost,periodic,14,valid,3,18646,0.03233937573742358,0.45856361915475613,0.5505804311774462,0.3562231759656652,11.609521621044728,0.5288181695703144,0.43534728865631955,2.585829186999945,1,cpu,0.007860381798284105,0.014479494476023121
xgboost,periodic,14,valid,4,9274,0.031917187836963554,0.4945234697969857,0.581081081081081,0.3714902807775378,10.663637982747465,0.44606284434164906,0.5484379609779981,2.2105720249999194,1,cpu,0.015711355795198226,0.017610858097893502
xgboost,periodic,14,holdout,0,21975,0.030716723549488054,0.5337328104123485,0.5881481481481482,0.36156648451730417,12.966488659658705,0.49796546333710734,0.5614452571441177,2.2789715230001093,1,cpu,0.027151214442265977,0.013545813105800818
xgboost,periodic,14,holdout,1,20656,0.030644848954298993,0.44958095895158745,0.5987361769352291,0.36724806201550386,11.799751987703331,0.4442272169337585,0.4611259346769454,2.3059066509999866,1,cpu,0.005010615331326422,0.014172580073580491
xgboost,periodic,14,holdout,2,20508,0.03510825043885313,0.4864437767902289,0.5569444444444445,0.39121951219512197,14.217826024185682,0.4617016808044076,0.5058881732906652,2.4476844509999864,1,cpu,0.048940607202741834,0.014548904915156261
xgboost,periodic,14,holdout,3,17817,0.04130886232250098,0.6158972143119953,0.6345108695652174,0.5247191011235955,19.34430005949374,0.6003716659533984,0.6284314175628857,2.6637055099999998,1,cpu,0.04876624937601959,0.014608050120673762
xgboost,periodic,14,holdout,4,7625,0.041836065573770495,0.5878121434685486,0.5956112852664577,0.49868766404199477,20.280628831475408,0.6126520664351879,0.5828910828374523,2.5411478089999946,1,cpu,0.06606011151138907,0.019719658491802145
xgboost,alert,14,valid,1,18907,0.03929761464008039,0.5502081580267407,0.5585464333781965,0.43915343915343913,14.845625933358013,0.5125985008527499,0.5899331348839305,2.5391377559999455,1,cpu,0.0,0.014743895700002204
xgboost,alert,14,valid,2,18622,0.033293953388465254,0.4286426699628756,0.535483870967742,0.35660580021482274,13.893113010954785,0.3638768407688066,0.47021862439840334,0.0,0,cpu,0.002650731894717233,0.015173559821716124
xgboost,alert,14,valid,3,18646,0.03233937573742358,0.3949279757336384,0.4975124378109453,0.3218884120171674,12.9126237842969,0.4291670071590372,0.3938695878081853,0.0,0,cpu,0.000966516175761759,0.014869517698160735
xgboost,alert,14,valid,4,9274,0.031917187836963554,0.46761407860431914,0.5135135135135135,0.3282937365010799,11.154749734310977,0.3360524443151099,0.5865185408619207,0.0,0,cpu,0.0028712341189565693,0.017478390769879313
xgboost,alert,14,holdout,0,21975,0.030716723549488054,0.4811547064002275,0.5392592592592592,0.331511839708561,12.428735085870306,0.3770003734536546,0.5471996249064619,0.0,0,cpu,0.0030576140815092158,0.01377675899885566
xgboost,alert,14,holdout,1,20656,0.030644848954298993,0.44958095895158745,0.5987361769352291,0.36724806201550386,11.799751987703331,0.4442272169337585,0.4611259346769454,2.2396896380000726,1,cpu,0.005010615331326422,0.014239489591404876
xgboost,alert,14,holdout,2,20508,0.03510825043885313,0.46832482449661417,0.5444444444444444,0.3824390243902439,15.490218801248293,0.4319759278444868,0.4939799255999341,0.0,0,cpu,0.008386644072382895,0.013949507460505469
xgboost,alert,14,holdout,3,17817,0.04130886232250098,0.6158972143119953,0.6345108695652174,0.5247191011235955,19.34430005949374,0.6003716659533984,0.6284314175628857,2.687674971999968,1,cpu,0.04876624937601959,0.01496844872874312
xgboost,alert,14,holdout,4,7625,0.041836065573770495,0.5374728520368118,0.5391849529780565,0.45144356955380577,25.405012973114758,0.4903021330721769,0.5786002089676301,0.0,0,cpu,0.046959887778326964,0.019588975213127177
xgboost,periodic,30,valid,1,18907,0.03929761464008039,0.5546703812755056,0.5800807537012113,0.4560846560846561,13.62960753720844,0.5091106622135226,0.601191205817966,4.404323882999961,1,cpu,0.0,0.014801177764845744
xgboost,periodic,30,valid,2,18622,0.033293953388465254,0.4962758187350254,0.5919354838709677,0.3941997851772288,12.975276018150574,0.48017600940004856,0.5097139517049201,4.463699747999954,1,cpu,0.0636141686087158,0.01441769874341905
xgboost,periodic,30,valid,3,18646,0.03233937573742358,0.45269336395321774,0.5190713101160862,0.33583690987124465,11.897564108226966,0.5277204210673555,0.4323385195701239,4.377572035999947,1,cpu,0.016196957291836546,0.014134097339911798
xgboost,periodic,30,valid,4,9274,0.031917187836963554,0.5155144902031513,0.5912162162162162,0.3779697624190065,10.499657120983395,0.43405794393436636,0.5982485417111658,4.224946983000109,1,cpu,0.011473966424070479,0.01744626450290792
xgboost,periodic,30,holdout,0,21975,0.030716723549488054,0.5480297910522648,0.6044444444444445,0.37158469945355194,12.581361744163821,0.5004503046408573,0.5795863195643927,4.090485947000161,1,cpu,0.009916678702382237,0.013769192673490074
xgboost,periodic,30,holdout,1,20656,0.030644848954298993,0.49127149878615195,0.6161137440758294,0.37790697674418605,10.559736334333849,0.5142764657428894,0.49053048743918054,3.9803986689998965,1,cpu,0.019851978366353835,0.013860380712623764
xgboost,periodic,30,holdout,2,20508,0.03510825043885313,0.5054301319854007,0.5666666666666667,0.3980487804878049,14.028691643846305,0.4561021583443358,0.5372704317034017,4.012518053000122,1,cpu,0.026075400865578396,0.014161977228398388
xgboost,periodic,30,holdout,3,17817,0.04130886232250098,0.6245274417197392,0.6453804347826086,0.5337078651685393,17.96411089633496,0.6214686338735698,0.627413141978949,4.238872160000028,1,cpu,0.02094903753487876,0.014510005275857774
xgboost,periodic,30,holdout,4,7625,0.041836065573770495,0.6072102794400572,0.5862068965517241,0.49081364829396323,23.138921893770494,0.597491619341848,0.6229895034393018,4.342602208000017,1,cpu,0.06290105246370274,0.01898019540981966
