model,strategy,window_days,scenario,review_effectiveness,update_cost,false_escalation_cost,rows,fraud_count,cost_total,cost_per_txn,reward_total,review_count,review_rate,escalate_count,approve_count,fraud_approved,fraud_referred,fraud_referred_rate,false_escalations_per_1000_legit,updates,update_cost_total
lightgbm,periodic,expanding,model,0.6,100.0,25.0,88581,3083,896326.8581905002,10.118725891449635,-896326.8581905002,4898,0.055294024677978344,4025,79658,869,2214,0.7181316899124229,26.01230438138904,5,500.0
lightgbm,periodic,expanding,model,0.6,500.0,5.0,88581,3083,853846.8581905002,9.63916481175986,-853846.8581905002,4898,0.055294024677978344,4025,79658,869,2214,0.7181316899124229,26.01230438138904,5,2500.0
lightgbm,periodic,expanding,model,0.6,500.0,10.0,88581,3083,864966.8581905002,9.764699632996921,-864966.8581905002,4898,0.055294024677978344,4025,79658,869,2214,0.7181316899124229,26.01230438138904,5,2500.0
lightgbm,periodic,expanding,model,0.6,500.0,25.0,88581,3083,898326.8581905002,10.1413040967081,-898326.8581905002,4898,0.055294024677978344,4025,79658,869,2214,0.7181316899124229,26.01230438138904,5,2500.0
lightgbm,periodic,expanding,model,0.8,0.0,5.0,88581,3083,772896.3115544999,8.725305782893622,-772896.3115544999,4898,0.055294024677978344,4025,79658,869,2214,0.7181316899124229,26.01230438138904,5,0.0
lightgbm,periodic,expanding,model,0.8,0.0,10.0,88581,3083,784016.3115544999,8.850840604130681,-784016.3115544999,4898,0.055294024677978344,4025,79658,869,2214,0.7181316899124229,26.01230438138904,5,0.0
lightgbm,periodic,expanding,model,0.8,0.0,25.0,88581,3083,817376.3115544999,9.227445067841861,-817376.3115544999,4898,0.055294024677978344,4025,79658,869,2214,0.7181316899124229,26.01230438138904,5,0.0
lightgbm,periodic,expanding,model,0.8,100.0,5.0,88581,3083,773396.3115544999,8.730950334208238,-773396.3115544999,4898,0.055294024677978344,4025,79658,869,2214,0.7181316899124229,26.01230438138904,5,500.0
lightgbm,periodic,expanding,model,0.8,100.0,10.0,88581,3083,784516.3115544999,8.856485155445297,-784516.3115544999,4898,0.055294024677978344,4025,79658,869,2214,0.7181316899124229,26.01230438138904,5,500.0
lightgbm,periodic,expanding,model,0.8,100.0,25.0,88581,3083,817876.3115544999,9.233089619156477,-817876.3115544999,4898,0.055294024677978344,4025,79658,869,2214,0.7181316899124229,26.01230438138904,5,500.0
lightgbm,periodic,expanding,model,0.8,500.0,5.0,88581,3083,775396.3115544999,8.753528539466702,-775396.3115544999,4898,0.055294024677978344,4025,79658,869,2214,0.7181316899124229,26.01230438138904,5,2500.0
lightgbm,periodic,expanding,model,0.8,500.0,10.0,88581,3083,786516.3115544999,8.879063360703762,-786516.3115544999,4898,0.055294024677978344,4025,79658,869,2214,0.7181316899124229,26.01230438138904,5,2500.0
lightgbm,periodic,expanding,model,0.8,500.0,25.0,88581,3083,819876.3115544999,9.25566782441494,-819876.3115544999,4898,0.055294024677978344,4025,79658,869,2214,0.7181316899124229,26.01230438138904,5,2500.0
lightgbm,periodic,expanding,model,1.0,0.0,5.0,88581,3083,694445.7649185001,7.839669510600468,-694445.7649185001,4898,0.055294024677978344,4025,79658,869,2214,0.7181316899124229,26.01230438138904,5,0.0
lightgbm,periodic,expanding,model,1.0,0.0,10.0,88581,3083,705565.7649185001,7.965204331837528,-705565.7649185001,4898,0.055294024677978344,4025,79658,869,2214,0.7181316899124229,26.01230438138904,5,0.0
lightgbm,periodic,expanding,model,1.0,0.0,25.0,88581,3083,738925.7649185001,8.341808795548708,-738925.7649185001,4898,0.055294024677978344,4025,79658,869,2214,0.7181316899124229,26.01230438138904,5,0.0
lightgbm,periodic,expanding,model,1.0,100.0,5.0,88581,3083,694945.7649185001,7.845314061915085,-694945.7649185001,4898,0.055294024677978344,4025,79658,869,2214,0.7181316899124229,26.01230438138904,5,500.0
lightgbm,periodic,expanding,model,1.0,100.0,10.0,88581,3083,706065.7649185001,7.9708488831521445,-706065.7649185001,4898,0.055294024677978344,4025,79658,869,2214,0.7181316899124229,26.01230438138904,5,500.0
lightgbm,periodic,expanding,model,1.0,100.0,25.0,88581,3083,739425.7649185001,8.347453346863324,-739425.7649185001,4898,0.055294024677978344,4025,79658,869,2214,0.7181316899124229,26.01230438138904,5,500.0
lightgbm,periodic,expanding,model,1.0,500.0,5.0,88581,3083,696945.7649185001,7.8678922671735485,-696945.7649185001,4898,0.055294024677978344,4025,79658,869,2214,0.7181316899124229,26.01230438138904,5,2500.0
lightgbm,periodic,expanding,model,1.0,500.0,10.0,88581,3083,708065.7649185001,7.993427088410608,-708065.7649185001,4898,0.055294024677978344,4025,79658,869,2214,0.7181316899124229,26.01230438138904,5,2500.0
lightgbm,periodic,expanding,model,1.0,500.0,25.0,88581,3083,741425.7649185001,8.370031552121787,-741425.7649185001,4898,0.055294024677978344,4025,79658,869,2214,0.7181316899124229,26.01230438138904,5,2500.0
lightgbm,alert,expanding,model,0.6,0.0,5.0,88581,3083,910247.5417825,10.275877917188788,-910247.5417825,4898,0.055294024677978344,4119,79564,898,2185,0.7087252675964969,27.719946665419073,1,0.0
lightgbm,alert,expanding,model,0.6,0.0,10.0,88581,3083,922097.5417825,10.409653783345187,-922097.5417825,4898,0.055294024677978344,4119,79564,898,2185,0.7087252675964969,27.719946665419073,1,0.0
lightgbm,alert,expanding,model,0.6,0.0,25.0,88581,3083,957647.5417825,10.810981381814385,-957647.5417825,4898,0.055294024677978344,4119,79564,898,2185,0.7087252675964969,27.719946665419073,1,0.0
lightgbm,alert,expanding,model,0.6,100.0,5.0,88581,3083,910347.5417825,10.27700682745171,-910347.5417825,4898,0.055294024677978344,4119,79564,898,2185,0.7087252675964969,27.719946665419073,1,100.0
lightgbm,alert,expanding,model,0.6,100.0,10.0,88581,3083,922197.5417825,10.41078269360811,-922197.5417825,4898,0.055294024677978344,4119,79564,898,2185,0.7087252675964969,27.719946665419073,1,100.0
lightgbm,alert,expanding,model,0.6,100.0,25.0,88581,3083,957747.5417825,10.812110292077307,-957747.5417825,4898,0.055294024677978344,4119,79564,898,2185,0.7087252675964969,27.719946665419073,1,100.0
lightgbm,alert,expanding,model,0.6,500.0,5.0,88581,3083,910747.5417825,10.281522468503404,-910747.5417825,4898,0.055294024677978344,4119,79564,898,2185,0.7087252675964969,27.719946665419073,1,500.0
lightgbm,alert,expanding,model,0.6,500.0,10.0,88581,3083,922597.5417825,10.415298334659802,-922597.5417825,4898,0.055294024677978344,4119,79564,898,2185,0.7087252675964969,27.719946665419073,1,500.0
